MaJ;nom;adresse;arrondissement;comptoir;salle;terrasse;
07/03/2012 11:04;Chez Prune;36 rue Beaurepaire 75010 Paris;75010;1;-;-;
10/22/2012 14:47:21;Le Plomb du cantal;3 rue Gaite 75014 Paris;75014;1;1;-;
07/03/2012 11:04;Chez Fafa;44 rue Vinaigriers 75010 Paris;75010;1;-;-;
10/22/2012 14:57:13;Epicerie Musicale;55bis quai de Valmy 75010 Paris;75010;1;1;-;
07/03/2012 11:28;La cantine de Zoe;136 rue du Faubourg poissonniere 75010 Paris;75010;1;-;-;
07/03/2012 11:03;le chateau d'eau;67 rue du Chateau d'eau 75010 Paris;75010;1;-;-;
6/27/2012 18:45:58;Le sully;13 rue du Faubourg Saint Denis 75010 Paris;75010;1;-;-;
6/27/2012 19:10:47;En attendant l'or;3 rue Faidherbe 75011 Paris;75011;1;-;-;
07/03/2012 11:08;Extra old cafe;307 fg saint Antoine 75011 Paris;75011;1;-;-;
07/03/2012 11:26;L'horizon;93, rue de la Roquette 75011 Paris;75011;1;-;-;
6/27/2012 18:45:58;L'ingenu;184 bd Voltaire 75011 Paris;75011;1;-;-;
11/05/2012 11:06;La Caravane;Rue de la Fontaine au Roi 75011 Paris;75011;0.9;-;-;
10/22/2012 14:54:57;Le Centenaire;104 rue amelot 75011 Paris;75011;1;1;-;
07/03/2012 11:27;Le Plein soleil;90 avenue Parmentier 75011 Paris;75011;1;-;-;
07/03/2012 11:08;Le Pure cafe;14 rue Jean Mace 75011 Paris;75011;1;-;-;
11/05/2012 11:06;Panem;18 rue de Crussol 75011 Paris;75011;0.9;-;-;
07/03/2012 11:08;Pause Cafe;41 rue de Charonne 75011 Paris;75011;1;-;-;
6/27/2012 18:45:58;Assaporare Dix sur Dix;75, avenue Ledru-Rollin 75012 Paris;75012;1;-;-;
6/27/2012 18:45:58;Au pays de Vannes;34 bis rue de Wattignies 75012 Paris;75012;1;-;-;
6/27/2012 18:45:58;Aux cadrans;21 ter boulevard Diderot 75012 Paris;75012;1;-;-;
6/27/2012 18:45:58;Bistrot Saint-Antoine;58 rue du Fbg Saint-Antoine 75012 Paris;75012;1;-;-;
07/03/2012 11:27;cafe Pierre;202 rue du faubourg st antoine 75012 Paris;75012;1;-;-;
07/03/2012 11:27;L'empreinte;54, avenue Daumesnil 75012 Paris;75012;1;-;-;
10/22/2012 14:58:04;La Liberte;196 rue du faubourg saint-antoine 75012 Paris;75012;1;1;-;
09/10/2012 16:58;Le Chat bossu;126, rue du Faubourg Saint Antoine 75012 Paris;75012;1;-;-;
6/27/2012 18:45:58;Le Killy Jen;28 bis boulevard Diderot 75012 Paris;75012;1;-;-;
07/03/2012 11:53;LÕange d'or;26 rue du Docteur Magnan 75013 Paris;75013;1;-;-;
09/10/2012 18:34;L'cir;59 Boulevard Saint-Jacques 75014 Paris;75014;1;-;-;
10/18/2012 12:38:45;Le Couvent;69 rue Broca 75013 Paris;75013;1;1;-;
07/03/2012 11:28;Le Kleemend's;34 avenue Pierre Mendes-France 75013 Paris;75013;1;-;-;
10/22/2012 15:10:10;Le Caminito;48 rue du Dessous des Berges 75013 Paris;75013;1;1;;
07/03/2012 11:28;Tamm Bara;7 rue Clisson 75013 Paris;75013;1;-;-;
6/27/2012 18:45:58;Au Vin Des Rues;21 rue Boulard 75014 Paris;75014;1;-;-;
07/03/2012 11:28;Caprice cafe;12 avenue Jean Moulin 75014 Paris;75014;1;-;-;
09/10/2012 16:58;Denfert cafe;58 boulvevard Saint Jacques 75014 Paris;75014;1;-;-;
07/03/2012 11:29;Le petit club;55 rue de la tombe Issoire 75014 Paris;75014;1;-;-;
6/27/2012 18:45:58;le Zango;58 rue Daguerre 75014 Paris;75014;1;-;-;
6/27/2012 18:45:58;maison du vin;52 rue des plantes 75014 Paris;75014;1;-;-;
6/27/2012 18:45:58;bistrot les timbres;14 rue d'alleray 75015 Paris;75015;1;-;-;
11/05/2012 11:02;cafe Dupont;198 rue de la Convention 75015 Paris;75015;0.99;-;-;
07/03/2012 11:30;cafe Victor;10 boulevard Victor 75015 Paris;75015;1;-;-;
6/27/2012 18:45:58;La Bauloise;36 rue du hameau 75015 Paris;75015;1;-;-;
6/27/2012 18:45:58;le 1 cinq;172 rue de vaugirard 75015 Paris;75015;1;-;-;
